date,entity_id,brand,product_name,category,event_explanation,narrative,signal_for_peak
2025-02-02,101,SoundWave,SoundPods X3,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-02-06,101,SoundWave,SoundPods X3,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-02-27,101,SoundWave,SoundPods X3,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-03-03,101,SoundWave,SoundPods X3,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-03-09,101,SoundWave,SoundPods X3,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-03-13,101,SoundWave,SoundPods X3,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-01-25,102,EchoTech,EchoBeats Lite,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-02-08,102,EchoTech,EchoBeats Lite,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-02-10,102,EchoTech,EchoBeats Lite,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-03-20,102,EchoTech,EchoBeats Lite,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-03-22,102,EchoTech,EchoBeats Lite,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-01-13,103,PureAudio,PureSound Elite,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-01-16,103,PureAudio,PureSound Elite,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-01-25,103,PureAudio,PureSound Elite,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-02-24,103,PureAudio,PureSound Elite,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-03-20,103,PureAudio,PureSound Elite,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-01-11,104,TechGear,TechBuds Pro,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-02-08,104,TechGear,TechBuds Pro,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-02-22,104,TechGear,TechBuds Pro,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-02-26,104,TechGear,TechBuds Pro,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-03-03,104,TechGear,TechBuds Pro,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-01-06,105,ZenAudio,ZenEar Flex,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-02-11,105,ZenAudio,ZenEar Flex,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-02-26,105,ZenAudio,ZenEar Flex,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-03-03,105,ZenAudio,ZenEar Flex,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-03-10,105,ZenAudio,ZenEar Flex,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-03-25,105,ZenAudio,ZenEar Flex,earbuds,earbuds event activity,Event influenced demand trajectory,event_signal
2025-01-15,201,NovaTech,NovaPhone S22,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-02-02,201,NovaTech,NovaPhone S22,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-02-06,201,NovaTech,NovaPhone S22,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-02-16,201,NovaTech,NovaPhone S22,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-03-13,201,NovaTech,NovaPhone S22,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-01-05,202,MaxMobile,BudgetMax 5G,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-01-09,202,MaxMobile,BudgetMax 5G,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-01-26,202,MaxMobile,BudgetMax 5G,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-02-12,202,MaxMobile,BudgetMax 5G,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-03-27,202,MaxMobile,BudgetMax 5G,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-01-21,203,CoreMobile,MidCore X8,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-01-31,203,CoreMobile,MidCore X8,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-02-15,203,CoreMobile,MidCore X8,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-02-27,203,CoreMobile,MidCore X8,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-02-28,203,CoreMobile,MidCore X8,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-03-14,203,CoreMobile,MidCore X8,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-02-23,204,LegacyCo,LegacyPro 11,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-03-07,204,LegacyCo,LegacyPro 11,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-03-14,204,LegacyCo,LegacyPro 11,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-03-16,204,LegacyCo,LegacyPro 11,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-03-22,204,LegacyCo,LegacyPro 11,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-01-08,205,SwiftTech,SwiftPhone Z1,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-01-10,205,SwiftTech,SwiftPhone Z1,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-01-16,205,SwiftTech,SwiftPhone Z1,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-01-31,205,SwiftTech,SwiftPhone Z1,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-02-19,205,SwiftTech,SwiftPhone Z1,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-03-10,205,SwiftTech,SwiftPhone Z1,smartphones,smartphones event activity,Event influenced demand trajectory,event_signal
2025-01-11,301,FitTech,FitPulse Watch,smartwatches,smartwatches event activity,Event influenced demand trajectory,event_signal
2025-01-20,301,FitTech,FitPulse Watch,smartwatches,smartwatches event activity,Event influenced demand trajectory,event_signal
2025-02-06,301,FitTech,FitPulse Watch,smartwatches,smartwatches event activity,Event influenced demand trajectory,event_signal
2025-02-25,301,FitTech,FitPulse Watch,smartwatches,smartwatches event activity,Event influenced demand trajectory,event_signal
2025-01-05,302,LuxBrand,LuxTime Pro,smartwatches,smartwatches event activity,Event influenced demand trajectory,event_signal
2025-02-02,302,LuxBrand,LuxTime Pro,smartwatches,smartwatches event activity,Event influenced demand trajectory,event_signal
2025-02-13,302,LuxBrand,LuxTime Pro,smartwatches,smartwatches event activity,Event influenced demand trajectory,event_signal
2025-03-03,302,LuxBrand,LuxTime Pro,smartwatches,smartwatches event activity,Event influenced demand trajectory,event_signal
2025-01-05,303,GearBudget,BudgetWatch G5,smartwatches,smartwatches event activity,Event influenced demand trajectory,event_signal
2025-01-23,303,GearBudget,BudgetWatch G5,smartwatches,smartwatches event activity,Event influenced demand trajectory,event_signal
2025-02-28,303,GearBudget,BudgetWatch G5,smartwatches,smartwatches event activity,Event influenced demand trajectory,event_signal
2025-03-15,303,GearBudget,BudgetWatch G5,smartwatches,smartwatches event activity,Event influenced demand trajectory,event_signal
2025-01-15,304,ActiveTech,ActiveBand X2,smartwatches,smartwatches event activity,Event influenced demand trajectory,event_signal
2025-01-23,304,ActiveTech,ActiveBand X2,smartwatches,smartwatches event activity,Event influenced demand trajectory,event_signal
2025-02-03,304,ActiveTech,ActiveBand X2,smartwatches,smartwatches event activity,Event influenced demand trajectory,event_signal
