date,entity_id,brand,product_name,category,marker_type,peak_severity_score,combined_marker_severity,marker_label
2025-01-03,101,SoundWave,SoundPods X3,earbuds,dip,17.964620619659225,18.274842212518305,Statistical anomaly detected
2025-01-05,101,SoundWave,SoundPods X3,earbuds,peak,3.635149039703051,3.945370632562131,High peak
2025-01-07,101,SoundWave,SoundPods X3,earbuds,dip,12.159133081812318,12.469354674671399,Low dip
2025-01-08,101,SoundWave,SoundPods X3,earbuds,peak,0.3836764616919034,0.6938980545509839,High peak
2025-01-10,101,SoundWave,SoundPods X3,earbuds,dip,5.056157834835036,5.366379427694116,Low dip
2025-01-12,101,SoundWave,SoundPods X3,earbuds,peak,4.666287116979455,4.976508709838535,High peak
2025-01-15,101,SoundWave,SoundPods X3,earbuds,dip,13.750198294027033,14.060419886886114,Low dip
2025-01-18,101,SoundWave,SoundPods X3,earbuds,peak,17.478617712353877,17.788839305212957,High peak
2025-01-19,101,SoundWave,SoundPods X3,earbuds,dip,0.7775970807757363,1.0878186736348168,Statistical anomaly detected
2025-01-21,101,SoundWave,SoundPods X3,earbuds,peak,6.328122677655939,7.8383442705150195,High peak
2025-01-23,101,SoundWave,SoundPods X3,earbuds,dip,8.742968421269167,9.053190014128248,Low dip
2025-01-25,101,SoundWave,SoundPods X3,earbuds,peak,8.653530299166045,8.963751892025126,High peak
2025-01-29,101,SoundWave,SoundPods X3,earbuds,dip,4.950645692539917,5.260867285398997,Low dip
2025-02-02,101,SoundWave,SoundPods X3,earbuds,peak,56.19289098805657,63.45170764994428,Statistical anomaly detected
2025-02-06,101,SoundWave,SoundPods X3,earbuds,event,92.97497423881545,100.0,Statistical anomaly detected
2025-02-10,101,SoundWave,SoundPods X3,earbuds,peak,24.977819815447855,26.44063647733557,High peak
2025-02-11,101,SoundWave,SoundPods X3,earbuds,dip,24.80046588773775,26.263282549625465,Low dip
2025-02-12,101,SoundWave,SoundPods X3,earbuds,peak,24.027568558050888,25.490385219938602,High peak
2025-02-13,101,SoundWave,SoundPods X3,earbuds,dip,11.886994106587371,13.349810768475086,Low dip
2025-02-15,101,SoundWave,SoundPods X3,earbuds,peak,12.199204119450828,13.662020781338542,High peak
2025-02-16,101,SoundWave,SoundPods X3,earbuds,dip,1.530198075666465,2.993014737554179,Low dip
2025-02-17,101,SoundWave,SoundPods X3,earbuds,peak,15.150075576962141,16.612892238849856,Statistical anomaly detected
2025-02-18,101,SoundWave,SoundPods X3,earbuds,dip,2.7458487104138154,4.20866537230153,Low dip
2025-02-19,101,SoundWave,SoundPods X3,earbuds,peak,2.7263520247503346,4.189168686638048,High peak
2025-02-21,101,SoundWave,SoundPods X3,earbuds,dip,5.1007404517902994,6.563557113678014,Low dip
2025-02-27,101,SoundWave,SoundPods X3,earbuds,peak,60.829910636399475,68.52255638095204,Statistical anomaly detected
2025-03-03,101,SoundWave,SoundPods X3,earbuds,event,89.53873627214443,100.0,Statistical anomaly detected
2025-03-04,101,SoundWave,SoundPods X3,earbuds,dip,76.58262994249091,78.33527568704348,Statistical anomaly detected
2025-03-09,101,SoundWave,SoundPods X3,earbuds,event,89.69540617699217,98.75616922261385,Statistical anomaly detected
2025-03-10,101,SoundWave,SoundPods X3,earbuds,peak,69.66171386270157,73.95847690832326,High peak
2025-03-12,101,SoundWave,SoundPods X3,earbuds,dip,20.246468573989095,25.43123161961078,Low dip
2025-03-13,101,SoundWave,SoundPods X3,earbuds,peak,31.23421391227606,40.399527562182456,Statistical anomaly detected
2025-03-16,101,SoundWave,SoundPods X3,earbuds,dip,28.20004640394979,31.457269975371354,Low dip
2025-03-17,101,SoundWave,SoundPods X3,earbuds,peak,22.072667082702136,25.329890654123698,High peak
2025-03-19,101,SoundWave,SoundPods X3,earbuds,dip,23.72192399707614,26.9791475684977,Low dip
2025-03-20,101,SoundWave,SoundPods X3,earbuds,peak,13.0709474987175,16.328171070139064,High peak
2025-03-22,101,SoundWave,SoundPods X3,earbuds,dip,9.836209913690823,13.093433485112385,Low dip
